date,target,location,observation
2022-07-30,wk inc flu hosp,US,521
2022-08-06,wk inc flu hosp,US,486
2022-08-13,wk inc flu hosp,US,489
2022-08-20,wk inc flu hosp,US,483
2022-08-27,wk inc flu hosp,US,483
2022-09-03,wk inc flu hosp,US,545
2022-09-10,wk inc flu hosp,US,577
2022-09-17,wk inc flu hosp,US,667
2022-09-24,wk inc flu hosp,US,795
2022-10-01,wk inc flu hosp,US,923
2022-10-08,wk inc flu hosp,US,1307
2022-10-15,wk inc flu hosp,US,1674
2022-10-22,wk inc flu hosp,US,2274
2022-10-29,wk inc flu hosp,US,4187
2022-11-05,wk inc flu hosp,US,6418
2022-11-12,wk inc flu hosp,US,8584
2022-11-19,wk inc flu hosp,US,10941
2022-11-26,wk inc flu hosp,US,18176
2022-12-03,wk inc flu hosp,US,26856
2022-12-10,wk inc flu hosp,US,24045
2022-12-17,wk inc flu hosp,US,21627
2022-12-24,wk inc flu hosp,US,19664
2022-12-31,wk inc flu hosp,US,19494
2023-01-07,wk inc flu hosp,US,14100
2023-01-14,wk inc flu hosp,US,7185
2023-01-21,wk inc flu hosp,US,4500
2023-01-28,wk inc flu hosp,US,3099
2023-02-04,wk inc flu hosp,US,2596
2023-02-11,wk inc flu hosp,US,2185
2023-02-18,wk inc flu hosp,US,1908
2023-02-25,wk inc flu hosp,US,1649
2023-03-04,wk inc flu hosp,US,1505
2023-03-11,wk inc flu hosp,US,1371
2023-03-18,wk inc flu hosp,US,1411
2023-03-25,wk inc flu hosp,US,1335
2023-04-01,wk inc flu hosp,US,1290
2023-04-08,wk inc flu hosp,US,1198
2023-04-15,wk inc flu hosp,US,1078
2023-04-22,wk inc flu hosp,US,980
2023-04-29,wk inc flu hosp,US,903
2023-05-06,wk inc flu hosp,US,991
2023-05-13,wk inc flu hosp,US,980
2023-05-20,wk inc flu hosp,US,1120
2023-05-27,wk inc flu hosp,US,973
2023-06-03,wk inc flu hosp,US,942
2023-06-10,wk inc flu hosp,US,935
2023-06-17,wk inc flu hosp,US,876
2023-06-24,wk inc flu hosp,US,816
2023-07-01,wk inc flu hosp,US,839
2023-07-08,wk inc flu hosp,US,699
2023-07-15,wk inc flu hosp,US,737
2023-07-22,wk inc flu hosp,US,648
2023-07-29,wk inc flu hosp,US,767
2023-08-05,wk inc flu hosp,US,687
2023-08-12,wk inc flu hosp,US,704
2023-08-19,wk inc flu hosp,US,739
2023-08-26,wk inc flu hosp,US,795
2023-09-02,wk inc flu hosp,US,880
2023-09-09,wk inc flu hosp,US,804
2023-09-16,wk inc flu hosp,US,818
2023-09-23,wk inc flu hosp,US,879
2023-09-30,wk inc flu hosp,US,1025
2023-10-07,wk inc flu hosp,US,1111
2023-10-14,wk inc flu hosp,US,1219
2023-10-21,wk inc flu hosp,US,1468
2023-10-28,wk inc flu hosp,US,1617
2023-11-04,wk inc flu hosp,US,2022
2023-11-11,wk inc flu hosp,US,2786
2023-11-18,wk inc flu hosp,US,3500
2023-11-25,wk inc flu hosp,US,4390
2023-12-02,wk inc flu hosp,US,5965
2023-12-09,wk inc flu hosp,US,7494
2023-12-16,wk inc flu hosp,US,10302
2023-12-23,wk inc flu hosp,US,15761
2023-12-30,wk inc flu hosp,US,21742
2024-01-06,wk inc flu hosp,US,19568
2024-01-13,wk inc flu hosp,US,15943
2024-01-20,wk inc flu hosp,US,13328
2024-01-27,wk inc flu hosp,US,13005
2024-02-03,wk inc flu hosp,US,11978
2024-02-10,wk inc flu hosp,US,11650
2024-02-17,wk inc flu hosp,US,11158
2024-02-24,wk inc flu hosp,US,10896
2024-03-02,wk inc flu hosp,US,10838
2024-03-09,wk inc flu hosp,US,9442
2024-03-16,wk inc flu hosp,US,7341
2024-03-23,wk inc flu hosp,US,6047
2024-03-30,wk inc flu hosp,US,5583
2024-04-06,wk inc flu hosp,US,5075
2024-04-13,wk inc flu hosp,US,4081
2024-04-20,wk inc flu hosp,US,2947
2024-04-27,wk inc flu hosp,US,2421
2024-05-04,wk inc flu hosp,US,1488
2024-05-11,wk inc flu hosp,US,852
2024-05-18,wk inc flu hosp,US,681
2024-05-25,wk inc flu hosp,US,610
2024-06-01,wk inc flu hosp,US,590
2024-06-08,wk inc flu hosp,US,511
2024-06-15,wk inc flu hosp,US,517
2024-06-22,wk inc flu hosp,US,441
2024-06-29,wk inc flu hosp,US,356
2024-07-06,wk inc flu hosp,US,341
2024-07-13,wk inc flu hosp,US,367
2024-07-20,wk inc flu hosp,US,324
2024-07-27,wk inc flu hosp,US,273
2024-08-03,wk inc flu hosp,US,275
2024-08-10,wk inc flu hosp,US,275
2024-08-17,wk inc flu hosp,US,273
2024-08-24,wk inc flu hosp,US,274
2024-08-31,wk inc flu hosp,US,259
2024-09-07,wk inc flu hosp,US,223
2024-09-14,wk inc flu hosp,US,319
2024-09-21,wk inc flu hosp,US,293
2024-09-28,wk inc flu hosp,US,223
2024-10-05,wk inc flu hosp,US,286
2024-10-12,wk inc flu hosp,US,295
2024-10-19,wk inc flu hosp,US,556
2024-10-26,wk inc flu hosp,US,1087
2024-11-02,wk inc flu hosp,US,1016
2024-11-09,wk inc flu hosp,US,2177
2024-11-16,wk inc flu hosp,US,2613
2024-11-23,wk inc flu hosp,US,3279
2024-11-30,wk inc flu hosp,US,4437
2024-12-07,wk inc flu hosp,US,6518
2024-12-14,wk inc flu hosp,US,9596
2024-12-21,wk inc flu hosp,US,16128
2024-12-28,wk inc flu hosp,US,28678
2025-01-04,wk inc flu hosp,US,39666
2025-01-11,wk inc flu hosp,US,31879
2025-01-18,wk inc flu hosp,US,33764
2025-01-25,wk inc flu hosp,US,41502
2025-02-01,wk inc flu hosp,US,52694
2025-02-08,wk inc flu hosp,US,55739
2025-02-15,wk inc flu hosp,US,47983
2025-02-22,wk inc flu hosp,US,39444
2025-03-01,wk inc flu hosp,US,32003
2025-03-08,wk inc flu hosp,US,24755
2025-03-15,wk inc flu hosp,US,18881
2025-03-22,wk inc flu hosp,US,14049
2025-03-29,wk inc flu hosp,US,9981
2025-04-05,wk inc flu hosp,US,6991
2025-04-12,wk inc flu hosp,US,5067
2025-04-19,wk inc flu hosp,US,3973
2025-04-26,wk inc flu hosp,US,3315
2025-05-03,wk inc flu hosp,US,2545
2025-05-10,wk inc flu hosp,US,2184
2025-05-17,wk inc flu hosp,US,1899
2025-05-24,wk inc flu hosp,US,1744
2025-05-31,wk inc flu hosp,US,1851
2025-06-07,wk inc flu hosp,US,1534
2025-06-14,wk inc flu hosp,US,1519
2025-06-21,wk inc flu hosp,US,1364
2025-06-28,wk inc flu hosp,US,1161
2025-07-05,wk inc flu hosp,US,1008
2025-07-12,wk inc flu hosp,US,970
2025-07-19,wk inc flu hosp,US,860
2025-07-26,wk inc flu hosp,US,891
2025-08-02,wk inc flu hosp,US,799
2025-08-09,wk inc flu hosp,US,762
2025-08-16,wk inc flu hosp,US,774
2025-08-23,wk inc flu hosp,US,801
2025-08-30,wk inc flu hosp,US,909
2025-09-06,wk inc flu hosp,US,980
2025-09-13,wk inc flu hosp,US,1012
2025-09-20,wk inc flu hosp,US,904
2025-09-27,wk inc flu hosp,US,1025
2025-10-04,wk inc flu hosp,US,976
2025-10-11,wk inc flu hosp,US,1016
2025-10-18,wk inc flu hosp,US,1119
2025-10-25,wk inc flu hosp,US,1199
2025-11-01,wk inc flu hosp,US,1358
2025-11-08,wk inc flu hosp,US,1787
2025-11-15,wk inc flu hosp,US,2487
2025-11-22,wk inc flu hosp,US,3584
2025-11-29,wk inc flu hosp,US,5220
2025-12-06,wk inc flu hosp,US,7449
2025-12-13,wk inc flu hosp,US,11156
2025-12-20,wk inc flu hosp,US,21083
2025-12-27,wk inc flu hosp,US,37602
2026-01-03,wk inc flu hosp,US,42634
2026-01-10,wk inc flu hosp,US,29933
2026-01-17,wk inc flu hosp,US,19754
2026-01-24,wk inc flu hosp,US,16819
2026-01-31,wk inc flu hosp,US,15751
2026-02-07,wk inc flu hosp,US,16121
2026-02-14,wk inc flu hosp,US,16436
2026-02-21,wk inc flu hosp,US,14731
2026-02-28,wk inc flu hosp,US,11159
2026-03-07,wk inc flu hosp,US,9598
2026-03-14,wk inc flu hosp,US,7793
2026-03-21,wk inc flu hosp,US,6088
2026-03-28,wk inc flu hosp,US,3306
2026-04-04,wk inc flu hosp,US,2901
2026-04-11,wk inc flu hosp,US,2235
2026-04-18,wk inc flu hosp,US,1941
2026-04-25,wk inc flu hosp,US,1877
2026-05-02,wk inc flu hosp,US,1649
2026-05-09,wk inc flu hosp,US,1473
2026-05-16,wk inc flu hosp,US,1306
2026-05-23,wk inc flu hosp,US,1250
2026-05-30,wk inc flu hosp,US,1060
2026-06-06,wk inc flu hosp,US,1011
2026-06-13,wk inc flu hosp,US,832
2026-06-20,wk inc flu hosp,US,703
